Date,Open,High,Low,Close,Adj Close,Volume
1/24/2022,91.029999,93.32,89.629997,93.040001,92.711525,1155200
1/21/2022,93.099998,93.339996,91.870003,92.18,91.854561,704300
1/20/2022,94.010002,94.540001,92.849998,93.059998,92.731453,781600
1/19/2022,93.349998,94.790001,92.919998,93.629997,93.299438,876300
1/18/2022,93.050003,93.949997,91.559998,93.220001,92.890892,1291800
1/14/2022,91.889999,94.239998,91.400002,94.07,93.737892,840100
1/13/2022,90,93.199997,89.800003,92.480003,92.153511,948700
1/12/2022,90.370003,90.889999,89.540001,89.809998,89.492928,865000
1/11/2022,89.919998,91.019997,89.190002,90.809998,90.489395,680900
1/10/2022,91.730003,91.730003,89.029999,89.709999,89.39328,687600
1/7/2022,91.019997,92.199997,90.800003,91.510002,91.186928,869000
1/6/2022,92.239998,92.940002,90.970001,90.970001,90.648834,617500
1/5/2022,92.370003,93.029999,91.419998,91.559998,91.236748,794700
1/4/2022,90.550003,92.379997,90.410004,91.879997,91.555618,891100
1/3/2022,89.290001,91.150002,89.019997,90.260002,89.941345,914100
12/31/2021,88.510002,89.279999,87.889999,88.900002,88.586143,699900
12/30/2021,88.589996,89.489998,88.190002,88.860001,88.546288,451000
12/29/2021,88.260002,88.669998,87.580002,88.360001,88.04805,639200
12/28/2021,87.760002,88.989998,87.5,88.260002,87.948402,391700
12/27/2021,87.5,88.550003,86.93,87.870003,87.559784,498800
12/23/2021,86.459999,87.860001,86.160004,87.349998,87.041611,708700
12/22/2021,86.489998,87.269997,85.879997,86.410004,86.104935,516200
12/21/2021,84.860001,86.870003,84.709999,86.43,86.124863,1325700
12/20/2021,85.82,86.199997,82.75,84.440002,84.141891,926100
12/17/2021,88.699997,89.360001,86.629997,86.730003,86.423805,2296600
12/16/2021,87.849998,89.889999,87.800003,89.019997,88.705719,1177200
12/15/2021,87.970001,88.610001,87.029999,87.760002,87.450172,878000
12/14/2021,88.919998,90.239998,88.169998,88.269997,87.958366,976600
12/13/2021,88.120003,90.169998,88.120003,89.650002,88.97477,1196100
12/10/2021,89,89.639999,88.010002,88.099998,87.43644,736800
12/9/2021,90.410004,90.410004,88.400002,88.559998,87.892975,783600
12/8/2021,89.580002,90.93,89.339996,90.480003,89.798515,859400
12/7/2021,91.050003,91.220001,89.629997,89.82,89.143486,667900
12/6/2021,89.900002,91.589996,89.440002,90.379997,89.699265,1064900
12/3/2021,90.07,90.379997,87.870003,88.599998,87.932678,818600
12/2/2021,87.839996,89.959999,87.839996,89.580002,88.905296,682800
12/1/2021,88.839996,90.129997,87.449997,87.459999,86.801262,744100
11/30/2021,90.010002,90.629997,87.809998,87.910004,87.247879,1052900
11/29/2021,91.879997,92.190002,90.339996,90.550003,89.867989,468300
11/26/2021,92.150002,92.839996,90.779999,91.160004,90.473396,345700
11/24/2021,93.5,94.730003,92.779999,93.099998,92.398781,575200
11/23/2021,93.699997,93.769997,92.919998,93.290001,92.587349,679800
11/22/2021,92.239998,94.730003,91.910004,93.389999,92.686592,719800
11/19/2021,91.339996,92.239998,90.900002,92.040001,91.346764,609700
11/18/2021,93.959999,94.059998,91.029999,91.169998,90.483315,489100
11/17/2021,93.589996,94.239998,92.980003,93.760002,93.053818,557100
11/16/2021,94.260002,95.080002,93.790001,93.860001,93.153053,542300
11/15/2021,93.839996,94.639999,93.470001,94.279999,93.569893,429400
11/12/2021,92.449997,93.940002,92.199997,93.57,92.865242,620300
11/11/2021,93.75,93.900002,92.010002,92.470001,91.773529,602700
11/10/2021,94.839996,95.389999,93.610001,94.019997,93.311852,517000
11/9/2021,95.75,95.75,94.260002,94.379997,93.669136,542500
11/8/2021,94.839996,96.160004,94.599998,95.82,95.098289,699500
11/5/2021,95.279999,96.800003,94.639999,94.690002,93.976807,539600
11/4/2021,94.910004,95.900002,94.190002,94.769997,94.056198,774400
11/3/2021,97.610001,98.720001,94.720001,95.07,94.353943,1067000
11/2/2021,101.400002,101.82,95.860001,98.169998,97.430595,1357500
11/1/2021,100.059998,101.410004,99.239998,101.150002,100.388153,683500
10/29/2021,98.5,100.220001,98.349998,99.980003,99.226967,700600
10/28/2021,98.809998,100.190002,97.239998,98.519997,97.777954,447200
10/27/2021,101.309998,101.309998,98.93,98.970001,98.224571,894400
10/26/2021,101.370003,101.82,100.419998,101,100.239281,517400
10/25/2021,102.129997,102.650002,101.540001,101.849998,101.082878,545600
10/22/2021,101.68,102.68,101.610001,102.040001,101.271446,250900
10/21/2021,100.379997,101.529999,99.419998,101.43,100.666046,521000
10/20/2021,99.559998,100.980003,99.209999,100.309998,99.554474,554100
10/19/2021,100.419998,100.419998,99.139999,99.690002,98.939148,371000
10/18/2021,99.379997,100.269997,98.690002,99.690002,98.939148,445800
10/15/2021,100,101.18,99.970001,100.290001,99.53463,604100
10/14/2021,97.779999,99.690002,97.769997,99.480003,98.730728,573400
10/13/2021,98.019997,98.830002,96.720001,98.220001,97.480217,480000
10/12/2021,97.43,98.769997,97.169998,98.260002,97.51992,613900
10/11/2021,99.089996,99.400002,97.629997,97.690002,96.954208,592400
10/8/2021,97.419998,99.190002,97.040001,98.879997,98.135246,646500
10/7/2021,97.559998,98.419998,95.57,97.480003,96.745796,932400
10/6/2021,96.120003,96.989998,94.57,96.940002,96.209862,677400
10/5/2021,97.959999,97.959999,95.940002,96.419998,95.693779,903700
10/4/2021,97.029999,98.620003,96.300003,97.860001,97.122932,800100
10/1/2021,96.879997,97.900002,95.610001,97.43,96.696167,513300
9/30/2021,98.660004,98.769997,96.120003,96.129997,95.405952,983100
9/29/2021,96.75,98.75,96.379997,97.949997,97.212242,892600
9/28/2021,96.839996,97.18,95.760002,96.559998,95.832718,806000
9/27/2021,94.860001,96.849998,94.849998,96.610001,95.882347,859400
9/24/2021,93.419998,95.019997,93.050003,94.75,94.036354,525800
9/23/2021,92.330002,93.620003,92.330002,93.029999,92.329308,462000
9/22/2021,91.800003,92.779999,91.660004,92.209999,91.515488,512000
9/21/2021,92.669998,92.669998,90.279999,90.900002,90.215355,653100
9/20/2021,90.5,92.699997,90.330002,92.230003,91.535339,752900
